"GB","MB","Path"
"2.95","3022","C:\Users\70641\AppData\Roaming\JetBrains"
"2.95","3022","C:\Users\70641\AppData\Roaming\JetBrains\IntelliJIdea2025.3"
"2.94","3007","C:\Users\70641\AppData\Roaming\JetBrains\IntelliJIdea2025.3\plugins"
"2.92","2987","C:\Users\70641\cc-haha-worktrees\fix-0.5.34-stability"
"2.92","2986","C:\Users\70641\cc-haha-worktrees\main-win-package-pr94"
"2.89","2960","C:\Users\70641\Documents"
"2.86","2933","C:\Program Files\Docker\Docker\resources"
"2.8","2865","C:\ProgramData\Package Cache"
"2.78","2847","C:\Users\70641\Documents\Codex"
"2.75","2814","C:\ProgramData\Microsoft\Windows\Containers\Layers\953a43b2-d004-4b6d-99e1-0ab0b948d802\Files\Windows\WinSxS"
"2.59","2652","C:\ProgramData\Microsoft\Windows\Containers\Layers\bf5c1c37-2957-4baa-bc06-d968b13b0975\Files\Windows\System32"
"2.55","2608","C:\Windows\System32\DriverStore\FileRepository\nvtfsi.inf_amd64_7928261975a052ef"
"2.53","2592","C:\Users\70641\AppData\Roaming\Tencent\QQLive"
"2.47","2526","C:\Users\70641\wasicore-learner\src-tauri\target\debug\deps"
"2.43","2486","C:\Program Files (x86)\Microsoft"
"2.41","2467","C:\Users\70641\cc-haha-worktrees\fix-0.5.34-stability\desktop"
"2.41","2467","C:\Users\70641\.gradle"
"2.41","2467","C:\Users\70641\cc-haha-worktrees\main-win-package-pr94\desktop"
"2.32","2371","C:\Program Files (x86)\Windows Kits"
"2.31","2364","C:\Program Files (x86)\Windows Kits\10"
"2.31","2367","C:\Program Files\Common Files"
"2.24","2299","C:\Program Files\Common Files\Adobe"
"2.24","2291","C:\ProgramData\Adobe"
"2.23","2289","C:\ProgramData\Adobe\CameraRaw"
"2.23","2284","C:\Users\70641\.cache"
"2.22","2275","C:\Program Files\TensorRT-10.16.1.11.Windows.amd64.cuda-13.2"
"2.22","2275","C:\Program Files\TensorRT-10.16.1.11.Windows.amd64.cuda-13.2\TensorRT-10.16.1.11"
"2.21","2260","C:\Program Files (x86)\Tencent"
"2.2","2257","C:\Program Files\TensorRT-10.16.1.11.Windows.amd64.cuda-13.2\TensorRT-10.16.1.11\bin"
"2.14","2189","C:\Users\70641\AppData\Local\JianyingPro\Apps"
"2.13","2180","C:\Users\70641\AppData\Local\JianyingPro\Apps\10.6.0.14057"
"2.12","2172","C:\Users\70641\AppData\Local\JianyingPro\User Data"
"2.1","2146","C:\Program Files\dotnet\shared"
